Symbol,Industry
AUBANK.NS,BK
AXISBANK.NS,BK
BAJAJFINSV.NS,BK
BAJFINANCE.NS,BK
BANDHANBNK.NS,BK
BANKBARODA.NS,BK
CANBK.NS,BK
CENTRALBK.NS,BK
CHOLAFIN.NS,BK
FEDERALBNK.NS,BK
HDFC.NS,BK
HDFCAMC.NS,BK
HDFCBANK.NS,BK
HDFCLIFE.NS,BK
ICICIBANK.NS,BK
ICICIGI.NS,BK
ICICIPRULI.NS,BK
IDFCFIRSTB.NS,BK
INDIANB.NS,BK
INDUSINDBK.NS,BK
KOTAKBANK.NS,BK
MAHABANK.NS,BK
MUTHOOTFIN.NS,BK
PEL.NS,BK
PFC.NS,BK
PNB.NS,BK
PSB.NS,BK
RECLTD.NS,BK
SBICARD.NS,BK
SBILIFE.NS,BK
SBIN.NS,BK
UCOBANK.NS,BK
UNIONBANK.NS,BK
LTIM.NS,IT
INFY.NS,IT
TECHM.NS,IT
WIPRO.NS,IT
LTTS.NS,IT
TCS.NS,IT
COFORGE.NS,IT
HCLTECH.NS,IT
MPHASIS.NS,IT
GODREJCP.NS,FMCG
VBL.NS,FMCG
COLPAL.NS,FMCG
DABUR.NS,FMCG
ITC.NS,FMCG
HINDUNILVR.NS,FMCG
NESTLEIND.NS,FMCG
RADICO.NS,FMCG
MCDOWELL-N.NS,FMCG
UBL.NS,FMCG
TATACONSUM.NS,FMCG
EMAMILTD.NS,FMCG
MARICO.NS,FMCG
BRITANNIA.NS,FMCG
PGHH.NS,FMCG
LUPIN.NS,PHARMA
DIVISLAB.NS,PHARMA
DRREDDY.NS,PHARMA
ABBOTINDIA.NS,PHARMA
LAURUSLABS.NS,PHARMA
GLENMARK.NS,PHARMA
GRANULES.NS,PHARMA
NATCOPHARM.NS,PHARMA
SUNPHARMA.NS,PHARMA
TORNTPHARM.NS,PHARMA
AUROPHARMA.NS,PHARMA
BIOCON.NS,PHARMA
PFIZER.NS,PHARMA
CIPLA.NS,PHARMA
IPCALAB.NS,PHARMA
ALKEM.NS,PHARMA
ZYDUSLIFE.NS,PHARMA
STAR.NS,PHARMA
GLAND.NS,PHARMA
APLLTD.NS,PHARMA
NMDC.NS,METAL
JINDALSTEL.NS,METAL
VEDL.NS,METAL
JSWSTEEL.NS,METAL
SAIL.NS,METAL
HINDZINC.NS,METAL
HINDCOPPER.NS,METAL
TATASTEEL.NS,METAL
NATIONALUM.NS,METAL
ADANIENT.NS,METAL
JSL.NS,METAL
HINDALCO.NS,METAL
APLAPOLLO.NS,METAL
RATNAMANI.NS,METAL
WELCORP.NS,METAL
LALPATHLAB.NS,PHARMA
APOLLOHOSP.NS,PHARMA
METROPOLIS.NS,PHARMA
SYNGENE.NS,PHARMA
LODHA.NS,REALTY
PHOENIXLTD.NS,REALTY
SOBHA.NS,REALTY
IBREALEST.NS,REALTY
PRESTIGE.NS,REALTY
BRIGADE.NS,REALTY
DLF.NS,REALTY
OBEROIRLTY.NS,REALTY
GODREJPROP.NS,REALTY
SUNTECK.NS,REALTY
HINDPETRO.NS,FUEL
IOC.NS,FUEL
CASTROLIND.NS,FUEL
PETRONET.NS,FUEL
BPCL.NS,FUEL
IGL.NS,FUEL
ONGC.NS,FUEL
MGL.NS,FUEL
ATGL.NS,FUEL
GSPL.NS,FUEL
RELIANCE.NS,FUEL
AEGISCHEM.NS,FUEL
GUJGASLTD.NS,FUEL
GAIL.NS,FUEL
